ISTANTE,PREC_68,PREC_72,PREC_81,TEMP,UMID_MIN,UMID_MAX,RAD,PORT_305
2013-01-01 00:00:00,0.0,0.0,0.0,-3.0,94.0,95.0,0.0,0.11
2013-01-01 01:00:00,0.0,0.0,0.0,-3.0,94.0,94.0,0.0,0.11
2013-01-01 02:00:00,0.0,0.0,0.0,-3.4,94.0,94.0,0.0,0.1
2013-01-01 03:00:00,0.0,0.0,0.0,-3.5,94.0,95.0,0.0,0.1
2013-01-01 04:00:00,0.0,0.0,0.0,-3.7,94.0,95.0,0.0,0.11
2013-01-01 05:00:00,0.0,0.0,0.0,-3.9,94.0,95.0,0.0,0.1
2013-01-01 06:00:00,0.0,0.0,0.0,-3.8,94.0,96.0,0.0,0.1
2013-01-01 07:00:00,0.0,0.0,0.0,-4.2,94.0,94.0,0.0,0.11
2013-01-01 08:00:00,0.0,0.0,0.0,-4.3,94.0,94.0,0.0,0.11
2013-01-01 09:00:00,0.0,0.0,0.0,-4.0,94.0,95.0,0.163,0.09
2013-01-01 10:00:00,0.0,0.0,0.0,-3.2,95.0,95.0,0.69,0.07
2013-01-01 11:00:00,0.0,0.0,0.0,-1.8,95.0,95.0,1.174,0.07
2013-01-01 12:00:00,0.0,0.0,0.0,-0.5,96.0,96.0,1.142,0.08
2013-01-01 13:00:00,0.0,0.0,0.0,3.2,87.0,98.0,1.199,0.1
2013-01-01 14:00:00,0.0,0.0,0.0,7.0,53.0,66.0,1.054,0.09
2013-01-01 15:00:00,0.0,0.0,0.0,6.2,50.0,55.0,0.496,0.08
2013-01-01 16:00:00,0.0,0.0,0.0,5.1,57.0,62.0,0.176,0.08
2013-01-01 17:00:00,0.0,0.0,0.0,2.8,68.0,79.0,0.025,0.08
2013-01-01 18:00:00,0.0,0.0,0.0,2.0,78.0,82.0,0.0,0.09
2013-01-01 19:00:00,0.0,0.0,0.0,1.1,84.0,86.0,0.0,0.09
2013-01-01 20:00:00,0.0,0.0,0.0,0.9,86.0,88.0,0.0,0.09
2013-01-01 21:00:00,0.0,0.0,0.0,0.9,88.0,89.0,0.0,0.1
2013-01-01 22:00:00,0.0,0.0,0.0,1.1,89.0,89.0,0.0,0.09
2013-01-01 23:00:00,0.0,0.0,0.0,0.9,88.0,89.0,0.0,0.09
2013-01-02 00:00:00,0.0,0.0,0.0,0.9,90.0,90.0,0.0,0.1
2013-01-02 01:00:00,0.0,0.0,0.0,1.0,90.0,90.0,0.0,0.09
2013-01-02 02:00:00,0.0,0.0,0.0,1.2,90.0,90.0,0.0,0.1
2013-01-02 03:00:00,0.0,0.0,0.0,1.3,90.0,90.0,0.0,0.09
2013-01-02 04:00:00,0.0,0.0,0.2,1.2,90.0,91.0,0.0,0.09
2013-01-02 05:00:00,0.2,0.0,1.0,1.0,92.0,93.0,0.0,0.1
2013-01-02 06:00:00,0.8,1.0,1.0,0.9,93.0,94.0,0.0,0.09
2013-01-02 07:00:00,1.0,0.6,0.6,0.6,94.0,95.0,0.0,0.09
2013-01-02 08:00:00,1.0,0.6,0.8,0.5,95.0,95.0,0.0,0.09
2013-01-02 09:00:00,0.6,0.2,0.8,0.7,96.0,96.0,0.0,0.09
2013-01-02 10:00:00,0.4,0.4,0.4,1.2,96.0,97.0,0.094,0.1
2013-01-02 11:00:00,0.2,0.0,0.6,1.8,96.0,97.0,0.195,0.1
2013-01-02 12:00:00,0.2,0.0,0.8,2.7,96.0,97.0,0.182,0.1
2013-01-02 13:00:00,0.2,0.2,0.6,3.5,96.0,96.0,0.245,0.1
2013-01-02 14:00:00,0.2,0.2,0.4,3.9,95.0,95.0,0.195,0.11
2013-01-02 15:00:00,0.6,0.2,0.2,4.2,95.0,95.0,0.169,0.1
2013-01-02 16:00:00,0.2,0.2,0.2,4.2,95.0,96.0,0.082,0.1
2013-01-02 17:00:00,0.0,0.0,0.0,3.6,96.0,96.0,0.006,0.11
2013-01-02 18:00:00,0.0,0.0,0.0,2.9,96.0,97.0,0.0,0.11
2013-01-02 19:00:00,0.0,0.0,0.0,2.8,96.0,97.0,0.0,0.12
2013-01-02 20:00:00,0.0,0.0,0.0,2.7,97.0,97.0,0.0,0.11
2013-01-02 21:00:00,0.0,0.0,0.0,2.5,97.0,97.0,0.0,0.11
2013-01-02 22:00:00,0.0,0.0,0.0,2.6,97.0,98.0,0.0,0.11
2013-01-02 23:00:00,0.0,0.0,0.0,2.5,97.0,98.0,0.0,0.11
2013-01-03 00:00:00,0.0,0.0,0.0,2.6,98.0,98.0,0.0,0.1
2013-01-03 01:00:00,0.0,0.0,0.0,2.5,98.0,98.0,0.0,0.11
2013-01-03 02:00:00,0.0,0.0,0.0,2.3,97.0,98.0,0.0,0.1
2013-01-03 03:00:00,0.0,0.0,0.0,1.9,98.0,98.0,0.0,0.1
2013-01-03 04:00:00,0.0,0.0,0.0,1.4,97.0,98.0,0.0,0.09
2013-01-03 05:00:00,0.0,0.0,0.0,0.3,97.0,98.0,0.0,0.09
2013-01-03 06:00:00,0.0,0.0,0.0,-0.3,97.0,98.0,0.0,0.1
2013-01-03 07:00:00,0.0,0.0,0.0,-0.6,97.0,98.0,0.0,0.1
2013-01-03 08:00:00,0.0,0.0,0.0,-1.0,97.0,97.0,0.0,0.09
2013-01-03 09:00:00,0.0,0.0,0.0,-1.0,97.0,98.0,0.132,0.09
2013-01-03 10:00:00,0.0,0.0,0.0,-0.7,97.0,98.0,0.634,0.07
2013-01-03 11:00:00,0.0,0.0,0.0,0.5,98.0,98.0,0.973,0.07
2013-01-03 12:00:00,0.0,0.0,0.0,2.7,99.0,99.0,0.929,0.08
2013-01-03 13:00:00,0.0,0.0,0.0,4.7,97.0,100.0,1.18,0.1
2013-01-03 14:00:00,0.0,0.0,0.0,6.0,89.0,96.0,1.218,0.09
2013-01-03 15:00:00,0.0,0.0,0.0,5.8,75.0,83.0,0.389,0.09
2013-01-03 16:00:00,0.0,0.0,0.0,3.7,82.0,89.0,0.063,0.09
2013-01-03 17:00:00,0.0,0.0,0.0,2.1,90.0,92.0,0.006,0.08
2013-01-03 18:00:00,0.0,0.0,0.0,1.0,92.0,94.0,0.0,0.09
2013-01-03 19:00:00,0.0,0.0,0.0,1.2,94.0,95.0,0.0,0.09
2013-01-03 20:00:00,0.0,0.0,0.0,0.9,94.0,95.0,0.0,0.09
2013-01-03 21:00:00,0.0,0.0,0.0,0.4,95.0,96.0,0.0,0.09
2013-01-03 22:00:00,0.0,0.0,0.0,0.1,96.0,96.0,0.0,0.09
2013-01-03 23:00:00,0.0,0.0,0.0,0.3,96.0,96.0,0.0,0.09
2013-01-04 00:00:00,0.0,0.0,0.0,0.3,96.0,97.0,0.0,0.09
2013-01-04 01:00:00,0.0,0.0,0.0,0.5,97.0,97.0,0.0,0.08
2013-01-04 02:00:00,0.0,0.0,0.0,0.2,96.0,97.0,0.0,0.08
2013-01-04 03:00:00,0.0,0.0,0.0,0.4,96.0,97.0,0.0,0.08
2013-01-04 04:00:00,0.0,0.0,0.0,0.4,96.0,97.0,0.0,0.08
2013-01-04 05:00:00,0.0,0.0,0.0,0.1,96.0,97.0,0.0,0.08
2013-01-04 06:00:00,0.0,0.0,0.0,-0.2,96.0,98.0,0.0,0.07
2013-01-04 07:00:00,0.0,0.0,0.0,-0.6,97.0,97.0,0.0,0.08
2013-01-04 08:00:00,0.0,0.0,0.0,-0.8,96.0,97.0,0.0,0.08
2013-01-04 09:00:00,0.0,0.0,0.0,-0.7,97.0,97.0,0.126,0.07
2013-01-04 10:00:00,0.0,0.0,0.0,0.1,97.0,97.0,0.471,0.07
2013-01-04 11:00:00,0.0,0.0,0.0,1.2,98.0,98.0,0.741,0.07
2013-01-04 12:00:00,0.0,0.0,0.0,3.0,98.0,98.0,1.029,0.07
2013-01-04 13:00:00,0.0,0.0,0.0,5.6,95.0,100.0,1.092,0.08
2013-01-04 14:00:00,0.0,0.0,0.0,7.6,74.0,92.0,1.142,0.08
2013-01-04 15:00:00,0.0,0.0,0.0,7.3,75.0,77.0,0.433,0.08
2013-01-04 16:00:00,0.0,0.0,0.0,6.5,75.0,80.0,0.144,0.08
2013-01-04 17:00:00,0.0,0.0,0.0,4.0,83.0,90.0,0.019,0.08
2013-01-04 18:00:00,0.0,0.0,0.0,2.8,90.0,94.0,0.0,0.08
2013-01-04 19:00:00,0.0,0.0,0.0,2.7,94.0,94.0,0.0,0.08
2013-01-04 20:00:00,0.0,0.0,0.0,2.5,94.0,94.0,0.0,0.08
2013-01-04 21:00:00,0.0,0.0,0.0,2.6,93.0,94.0,0.0,0.08
2013-01-04 22:00:00,0.0,0.0,0.0,2.4,92.0,93.0,0.0,0.08
2013-01-04 23:00:00,0.0,0.0,0.0,2.0,93.0,94.0,0.0,0.08
2013-01-05 00:00:00,0.0,0.0,0.0,1.6,93.0,94.0,0.0,0.08
2013-01-05 01:00:00,0.0,0.0,0.2,1.4,94.0,95.0,0.0,0.07
2013-01-05 02:00:00,0.0,0.0,0.0,1.9,94.0,95.0,0.0,0.05
2013-01-05 03:00:00,0.0,0.0,0.0,1.9,93.0,94.0,0.0,0.04
2013-01-05 04:00:00,0.0,0.0,0.0,2.7,90.0,93.0,0.0,0.06
2013-01-05 05:00:00,0.0,0.0,0.0,2.7,89.0,90.0,0.0,0.07
2013-01-05 06:00:00,0.0,0.0,0.0,3.4,87.0,89.0,0.0,0.07
2013-01-05 07:00:00,0.0,0.0,0.0,2.8,88.0,90.0,0.0,0.07
2013-01-05 08:00:00,0.0,0.0,0.0,2.8,88.0,90.0,0.0,0.07
2013-01-05 09:00:00,0.0,0.0,0.0,3.4,89.0,92.0,0.063,0.07
2013-01-05 10:00:00,0.0,0.0,0.0,4.1,88.0,89.0,0.464,0.07
2013-01-05 11:00:00,0.0,0.0,0.0,7.5,69.0,84.0,0.697,0.05
2013-01-05 12:00:00,0.0,0.0,0.0,12.6,47.0,69.0,1.268,0.07
2013-01-05 13:00:00,0.0,0.0,0.0,17.5,32.0,41.0,1.337,0.09
2013-01-05 14:00:00,0.0,0.0,0.0,16.4,33.0,42.0,1.218,0.1
2013-01-05 15:00:00,0.0,0.0,0.0,11.5,45.0,54.0,0.477,0.08
2013-01-05 16:00:00,0.0,0.0,0.0,10.9,54.0,58.0,0.132,0.08
2013-01-05 17:00:00,0.0,0.0,0.0,8.8,61.0,70.0,0.019,0.08
2013-01-05 18:00:00,0.0,0.0,0.0,8.6,63.0,69.0,0.0,0.08
2013-01-05 19:00:00,0.0,0.0,0.0,10.3,51.0,58.0,0.0,0.09
2013-01-05 20:00:00,0.0,0.0,0.0,9.4,54.0,58.0,0.0,0.09
2013-01-05 21:00:00,0.0,0.0,0.0,13.2,36.0,42.0,0.0,0.08
2013-01-05 22:00:00,0.0,0.0,0.0,10.0,38.0,57.0,0.0,0.08
2013-01-05 23:00:00,0.0,0.0,0.0,8.5,53.0,56.0,0.0,0.07
2013-01-06 00:00:00,0.0,0.0,0.0,7.5,55.0,60.0,0.0,0.08
2013-01-06 01:00:00,0.0,0.0,0.0,5.2,63.0,75.0,0.0,0.08
2013-01-06 02:00:00,0.0,0.0,0.0,3.6,78.0,82.0,0.0,0.08
2013-01-06 03:00:00,0.0,0.0,0.0,2.9,81.0,85.0,0.0,0.08
2013-01-06 04:00:00,0.0,0.0,0.0,2.5,85.0,88.0,0.0,0.07
2013-01-06 05:00:00,0.0,0.0,0.0,2.7,87.0,89.0,0.0,0.08
2013-01-06 06:00:00,0.0,0.0,0.0,2.7,84.0,86.0,0.0,0.08
2013-01-06 07:00:00,0.0,0.0,0.0,1.6,87.0,89.0,0.0,0.08
2013-01-06 08:00:00,0.0,0.0,0.0,1.0,89.0,91.0,0.0,0.07
2013-01-06 09:00:00,0.0,0.0,0.0,0.6,92.0,93.0,0.163,0.07
2013-01-06 10:00:00,0.0,0.0,0.0,1.4,92.0,94.0,0.609,0.06
2013-01-06 11:00:00,0.0,0.0,0.0,2.7,89.0,92.0,0.86,0.05
2013-01-06 12:00:00,0.0,0.0,0.0,5.3,76.0,89.0,1.205,0.07
2013-01-06 13:00:00,0.0,0.0,0.0,9.3,57.0,69.0,1.098,0.07
2013-01-06 14:00:00,0.0,0.0,0.0,10.0,55.0,58.0,0.897,0.07
2013-01-06 15:00:00,0.0,0.0,0.0,8.7,59.0,71.0,0.301,0.08
2013-01-06 16:00:00,0.0,0.0,0.0,7.0,73.0,82.0,0.138,0.07
2013-01-06 17:00:00,0.0,0.0,0.0,4.3,83.0,88.0,0.025,0.07
2013-01-06 18:00:00,0.0,0.0,0.0,2.7,91.0,92.0,0.0,0.07
2013-01-06 19:00:00,0.0,0.0,0.0,2.7,93.0,94.0,0.0,0.07
2013-01-06 20:00:00,0.0,0.0,0.0,3.2,92.0,99.0,0.0,0.08
2013-01-06 21:00:00,0.0,0.0,0.0,6.1,95.0,97.0,0.0,0.07
2013-01-06 22:00:00,0.0,0.0,0.0,6.2,85.0,92.0,0.0,0.08
2013-01-06 23:00:00,0.0,0.0,0.0,5.5,82.0,87.0,0.0,0.08
2013-01-07 00:00:00,0.0,0.0,0.0,4.5,80.0,82.0,0.0,0.08
2013-01-07 01:00:00,0.0,0.0,0.0,2.7,83.0,87.0,0.0,0.08
2013-01-07 02:00:00,0.0,0.0,0.0,2.4,86.0,89.0,0.0,0.08
2013-01-07 03:00:00,0.0,0.0,0.0,1.8,83.0,85.0,0.0,0.08
2013-01-07 04:00:00,0.0,0.0,0.0,1.3,84.0,86.0,0.0,0.08
2013-01-07 05:00:00,0.0,0.0,0.0,1.7,81.0,85.0,0.0,0.07
2013-01-07 06:00:00,0.0,0.0,0.0,1.8,78.0,81.0,0.0,0.08
2013-01-07 07:00:00,0.0,0.0,0.0,1.8,80.0,80.0,0.0,0.07
2013-01-07 08:00:00,0.0,0.0,0.0,1.2,81.0,83.0,0.0,0.08
2013-01-07 09:00:00,0.0,0.0,0.0,0.6,83.0,86.0,0.138,0.06
2013-01-07 10:00:00,0.0,0.0,0.0,1.4,83.0,84.0,0.628,0.04
2013-01-07 11:00:00,0.0,0.0,0.0,1.5,84.0,85.0,1.061,0.04
2013-01-07 12:00:00,0.0,0.0,0.0,2.0,86.0,88.0,1.349,0.06
2013-01-07 13:00:00,0.0,0.0,0.0,9.3,60.0,82.0,1.4,0.08
2013-01-07 14:00:00,0.0,0.0,0.0,9.9,59.0,60.0,1.305,0.09
2013-01-07 15:00:00,0.0,0.0,0.0,9.1,61.0,71.0,0.49,0.08
2013-01-07 16:00:00,0.0,0.0,0.0,7.7,75.0,83.0,0.063,0.08
2013-01-07 17:00:00,0.0,0.0,0.0,4.7,84.0,90.0,0.0,0.07
2013-01-07 18:00:00,0.0,0.0,0.0,2.3,90.0,92.0,0.0,0.08
2013-01-07 19:00:00,0.0,0.0,0.0,1.2,92.0,94.0,0.0,0.08
2013-01-07 20:00:00,0.0,0.0,0.0,0.3,94.0,95.0,0.0,0.08
2013-01-07 21:00:00,0.0,0.0,0.0,-0.2,95.0,96.0,0.0,0.08
2013-01-07 22:00:00,0.0,0.0,0.0,-0.6,95.0,96.0,0.0,0.08
2013-01-07 23:00:00,0.0,0.0,0.0,-1.0,95.0,96.0,0.0,0.08
2013-01-08 00:00:00,0.0,0.0,0.0,-1.0,96.0,96.0,0.0,0.07
2013-01-08 01:00:00,0.0,0.0,0.0,-1.2,96.0,96.0,0.0,0.07
2013-01-08 02:00:00,0.0,0.0,0.0,-1.4,96.0,96.0,0.0,0.08
2013-01-08 03:00:00,0.0,0.0,0.0,-1.5,96.0,96.0,0.0,0.08
2013-01-08 04:00:00,0.0,0.0,0.0,-1.3,96.0,96.0,0.0,0.08
2013-01-08 05:00:00,0.0,0.0,0.0,-0.8,96.0,97.0,0.0,0.08
2013-01-08 06:00:00,0.0,0.0,0.0,-0.2,96.0,97.0,0.0,0.07
2013-01-08 07:00:00,0.0,0.0,0.0,0.2,96.0,97.0,0.0,0.07
2013-01-08 08:00:00,0.0,0.0,0.0,-0.2,96.0,96.0,0.0,0.08
2013-01-08 09:00:00,0.0,0.0,0.0,-0.6,96.0,97.0,0.025,0.07
2013-01-08 10:00:00,0.0,0.0,0.0,-0.1,96.0,97.0,0.42,0.07
2013-01-08 11:00:00,0.0,0.0,0.0,0.6,97.0,98.0,0.803,0.07
2013-01-08 12:00:00,0.0,0.0,0.0,2.4,98.0,99.0,1.029,0.08
2013-01-08 13:00:00,0.0,0.0,0.0,5.8,95.0,99.0,0.414,0.07
2013-01-08 14:00:00,0.0,0.0,0.0,6.8,80.0,92.0,0.113,0.07
2013-01-08 15:00:00,0.0,0.0,0.0,6.9,76.0,78.0,0.195,0.07
2013-01-08 16:00:00,0.0,0.0,0.0,6.8,75.0,76.0,0.182,0.08
2013-01-08 17:00:00,0.0,0.0,0.0,6.0,77.0,81.0,0.031,0.07
2013-01-08 18:00:00,0.0,0.0,0.0,5.5,81.0,83.0,0.0,0.07
2013-01-08 19:00:00,0.0,0.0,0.0,4.5,85.0,88.0,0.0,0.07
2013-01-08 20:00:00,0.0,0.0,0.0,3.9,89.0,90.0,0.0,0.08
2013-01-08 21:00:00,0.0,0.0,0.0,3.6,91.0,92.0,0.0,0.08
2013-01-08 22:00:00,0.0,0.0,0.0,3.4,93.0,93.0,0.0,0.07
2013-01-08 23:00:00,0.0,0.0,0.0,3.2,94.0,94.0,0.0,0.07
2013-01-09 00:00:00,0.0,0.0,0.0,3.1,94.0,95.0,0.0,0.07
2013-01-09 01:00:00,0.0,0.0,0.0,2.6,94.0,95.0,0.0,0.07
2013-01-09 02:00:00,0.0,0.0,0.0,2.1,95.0,95.0,0.0,0.07
2013-01-09 03:00:00,0.0,0.0,0.0,1.3,96.0,96.0,0.0,0.07
2013-01-09 04:00:00,0.0,0.0,0.0,0.9,96.0,96.0,0.0,0.07
2013-01-09 05:00:00,0.0,0.0,0.0,0.7,96.0,96.0,0.0,0.07
2013-01-09 06:00:00,0.0,0.0,0.0,0.4,96.0,96.0,0.0,0.07
2013-01-09 07:00:00,0.0,0.0,0.0,0.1,96.0,96.0,0.0,0.07
2013-01-09 08:00:00,0.0,0.0,0.0,-0.2,96.0,96.0,0.0,0.07
2013-01-09 09:00:00,0.0,0.0,0.0,-0.1,96.0,97.0,0.019,0.07
2013-01-09 10:00:00,0.0,0.0,0.0,1.0,97.0,98.0,0.176,0.07
2013-01-09 11:00:00,0.0,0.0,0.0,3.0,98.0,98.0,0.408,0.07
2013-01-09 12:00:00,0.0,0.0,0.0,5.4,94.0,98.0,0.49,0.07
2013-01-09 13:00:00,0.0,0.0,0.0,7.2,69.0,86.0,0.477,0.07
2013-01-09 14:00:00,0.0,0.0,0.0,7.6,67.0,69.0,0.408,0.07
2013-01-09 15:00:00,0.0,0.0,0.0,7.0,70.0,72.0,0.27,0.07
2013-01-09 16:00:00,0.0,0.0,0.0,6.4,71.0,76.0,0.113,0.07
2013-01-09 17:00:00,0.0,0.0,0.0,5.9,76.0,78.0,0.006,0.07
2013-01-09 18:00:00,0.0,0.0,0.0,5.6,78.0,78.0,0.0,0.07
2013-01-09 19:00:00,0.0,0.0,0.0,4.9,78.0,83.0,0.0,0.07
2013-01-09 20:00:00,0.0,0.0,0.0,4.4,83.0,86.0,0.0,0.07
2013-01-09 21:00:00,0.0,0.0,0.0,4.0,87.0,89.0,0.0,0.07
2013-01-09 22:00:00,0.0,0.0,0.0,3.7,89.0,90.0,0.0,0.07
2013-01-09 23:00:00,0.0,0.0,0.0,3.6,91.0,91.0,0.0,0.07
2013-01-10 00:00:00,0.0,0.0,0.0,3.4,92.0,92.0,0.0,0.07
2013-01-10 01:00:00,0.0,0.0,0.0,3.3,92.0,94.0,0.0,0.07
2013-01-10 02:00:00,0.0,0.0,0.0,3.3,93.0,94.0,0.0,0.07
2013-01-10 03:00:00,0.0,0.0,0.0,3.2,94.0,94.0,0.0,0.07
2013-01-10 04:00:00,0.0,0.0,0.0,3.1,94.0,94.0,0.0,0.07
2013-01-10 05:00:00,0.0,0.0,0.0,3.0,94.0,94.0,0.0,0.06
2013-01-10 06:00:00,0.0,0.0,0.0,2.9,94.0,94.0,0.0,0.06
2013-01-10 07:00:00,0.0,0.0,0.0,2.9,94.0,94.0,0.0,0.07
2013-01-10 08:00:00,0.0,0.0,0.0,2.6,94.0,94.0,0.0,0.07
2013-01-10 09:00:00,0.0,0.0,0.0,2.5,94.0,94.0,0.038,0.06
2013-01-10 10:00:00,0.0,0.0,0.0,3.1,93.0,94.0,0.163,0.07
2013-01-10 11:00:00,0.0,0.0,0.0,4.3,87.0,92.0,0.264,0.07
2013-01-10 12:00:00,0.0,0.0,0.0,5.3,74.0,84.0,0.408,0.07
2013-01-10 13:00:00,0.0,0.0,0.0,6.6,64.0,70.0,0.477,0.07
2013-01-10 14:00:00,0.0,0.0,0.0,6.9,64.0,66.0,0.414,0.06
2013-01-10 15:00:00,0.0,0.0,0.0,6.3,68.0,75.0,0.308,0.07
2013-01-10 16:00:00,0.0,0.0,0.0,5.8,76.0,81.0,0.176,0.07
2013-01-10 17:00:00,0.0,0.0,0.0,5.1,82.0,85.0,0.019,0.07
2013-01-10 18:00:00,0.0,0.0,0.0,4.2,86.0,90.0,0.0,0.07
2013-01-10 19:00:00,0.0,0.0,0.0,3.9,90.0,92.0,0.0,0.07
2013-01-10 20:00:00,0.0,0.0,0.0,3.8,91.0,92.0,0.0,0.07
2013-01-10 21:00:00,0.0,0.0,0.0,2.9,91.0,92.0,0.0,0.06
2013-01-10 22:00:00,0.0,0.0,0.0,1.7,93.0,94.0,0.0,0.06
2013-01-10 23:00:00,0.0,0.0,0.0,1.0,94.0,95.0,0.0,0.06
2013-01-11 00:00:00,0.0,0.0,0.0,0.4,95.0,96.0,0.0,0.06
2013-01-11 01:00:00,0.0,0.0,0.0,-0.1,96.0,96.0,0.0,0.06
2013-01-11 02:00:00,0.0,0.0,0.0,-1.0,95.0,96.0,0.0,0.06
2013-01-11 03:00:00,0.0,0.0,0.0,-1.4,95.0,96.0,0.0,0.05
2013-01-11 04:00:00,0.0,0.0,0.0,-1.4,96.0,96.0,0.0,0.06
2013-01-11 05:00:00,0.0,0.0,0.0,-1.6,96.0,96.0,0.0,0.06
2013-01-11 06:00:00,0.0,0.0,0.0,-1.3,96.0,96.0,0.0,0.06
2013-01-11 07:00:00,0.0,0.0,0.0,-0.6,96.0,96.0,0.0,0.06
2013-01-11 08:00:00,0.0,0.0,0.0,-0.1,96.0,97.0,0.0,0.06
2013-01-11 09:00:00,0.0,0.0,0.0,0.4,96.0,97.0,0.031,0.06
2013-01-11 10:00:00,0.0,0.0,0.0,1.0,97.0,97.0,0.144,0.05
2013-01-11 11:00:00,0.0,0.0,0.0,2.3,97.0,97.0,0.176,0.05
2013-01-11 12:00:00,0.0,0.0,0.0,3.7,92.0,97.0,0.32,0.05
2013-01-11 13:00:00,0.0,0.0,0.0,5.4,68.0,88.0,0.433,0.05
2013-01-11 14:00:00,0.0,0.0,0.0,6.0,66.0,68.0,0.37,0.05
2013-01-11 15:00:00,0.0,0.0,0.0,5.5,67.0,71.0,0.314,0.05
2013-01-11 16:00:00,0.0,0.0,0.0,4.7,74.0,78.0,0.182,0.06
2013-01-11 17:00:00,0.0,0.0,0.0,2.1,79.0,86.0,0.006,0.05
2013-01-11 18:00:00,0.0,0.0,0.0,-0.1,88.0,91.0,0.0,0.05
2013-01-11 19:00:00,0.0,0.0,0.0,-1.0,92.0,93.0,0.0,0.08
2013-01-11 20:00:00,0.0,0.0,0.0,-1.5,93.0,94.0,0.0,0.07
2013-01-11 21:00:00,0.0,0.0,0.0,-1.6,94.0,95.0,0.0,0.07
2013-01-11 22:00:00,0.0,0.0,0.0,-2.2,94.0,94.0,0.0,0.07
2013-01-11 23:00:00,0.0,0.0,0.0,-2.6,94.0,94.0,0.0,0.07
2013-01-12 00:00:00,0.0,0.0,0.0,-2.9,94.0,95.0,0.0,0.07
2013-01-12 01:00:00,0.0,0.0,0.0,-2.9,94.0,94.0,0.0,0.07
2013-01-12 02:00:00,0.0,0.0,0.0,-3.0,94.0,94.0,0.0,0.07
2013-01-12 03:00:00,0.0,0.0,0.0,-3.0,94.0,94.0,0.0,0.07
2013-01-12 04:00:00,0.0,0.0,0.0,-3.3,94.0,94.0,0.0,0.07
2013-01-12 05:00:00,0.0,0.0,0.0,-3.4,94.0,94.0,0.0,0.07
2013-01-12 06:00:00,0.0,0.0,0.0,-3.0,94.0,94.0,0.0,0.06
2013-01-12 07:00:00,0.0,0.0,0.0,-3.3,94.0,94.0,0.0,0.06
2013-01-12 08:00:00,0.0,0.0,0.0,-3.5,94.0,94.0,0.0,0.06
2013-01-12 09:00:00,0.0,0.0,0.0,-2.6,94.0,94.0,0.006,0.07
2013-01-12 10:00:00,0.0,0.0,0.0,-0.8,95.0,96.0,0.182,0.07
2013-01-12 11:00:00,0.0,0.0,0.0,1.1,96.0,96.0,0.339,0.06
2013-01-12 12:00:00,0.0,0.0,0.0,2.9,86.0,95.0,0.314,0.06
2013-01-12 13:00:00,0.0,0.0,0.0,4.3,64.0,76.0,0.452,0.06
2013-01-12 14:00:00,0.0,0.0,0.0,4.6,61.0,63.0,0.333,0.06
2013-01-12 15:00:00,0.0,0.0,0.0,4.3,61.0,61.0,0.169,0.06
2013-01-12 16:00:00,0.0,0.0,0.0,4.0,62.0,65.0,0.088,0.06
2013-01-12 17:00:00,0.0,0.0,0.0,2.6,69.0,76.0,0.031,0.06
2013-01-12 18:00:00,0.0,0.0,0.0,-0.1,80.0,86.0,0.0,0.06
2013-01-12 19:00:00,0.0,0.0,0.0,-1.5,88.0,90.0,0.0,0.06
2013-01-12 20:00:00,0.0,0.0,0.0,-1.8,91.0,92.0,0.0,0.06
2013-01-12 21:00:00,0.0,0.0,0.0,-1.5,92.0,92.0,0.0,0.06
2013-01-12 22:00:00,0.0,0.0,0.0,-0.9,92.0,92.0,0.0,0.06
2013-01-12 23:00:00,0.0,0.0,0.0,-0.4,91.0,92.0,0.0,0.07
2013-01-13 00:00:00,0.0,0.0,0.0,-0.4,90.0,91.0,0.0,0.06
2013-01-13 01:00:00,0.0,0.0,0.0,-0.4,90.0,91.0,0.0,0.06
2013-01-13 02:00:00,0.0,0.0,0.0,-0.1,91.0,91.0,0.0,0.06
2013-01-13 03:00:00,0.0,0.0,0.0,0.2,90.0,91.0,0.0,0.06
2013-01-13 04:00:00,0.0,0.0,0.0,0.3,90.0,91.0,0.0,0.06
2013-01-13 05:00:00,0.0,0.0,0.4,0.4,91.0,92.0,0.0,0.05
2013-01-13 06:00:00,0.2,0.0,0.8,0.4,93.0,94.0,0.0,0.05
2013-01-13 07:00:00,0.2,0.0,1.0,0.4,94.0,95.0,0.0,0.06
2013-01-13 08:00:00,0.2,0.0,1.0,0.3,94.0,95.0,0.0,0.06
2013-01-13 09:00:00,0.2,0.4,1.0,0.4,95.0,96.0,0.0,0.06
2013-01-13 10:00:00,0.4,0.4,0.4,0.5,96.0,96.0,0.013,0.06
2013-01-13 11:00:00,0.0,0.2,1.4,0.9,96.0,96.0,0.063,0.06
2013-01-13 12:00:00,0.2,0.0,0.0,2.0,95.0,96.0,0.546,0.06
2013-01-13 13:00:00,0.0,0.0,0.0,3.3,90.0,94.0,0.659,0.07
2013-01-13 14:00:00,0.0,0.0,0.0,3.8,86.0,87.0,0.207,0.06
2013-01-13 15:00:00,0.0,0.0,0.0,3.9,84.0,86.0,0.151,0.06
2013-01-13 16:00:00,0.0,0.0,0.0,3.8,84.0,86.0,0.088,0.06
2013-01-13 17:00:00,0.0,0.0,0.0,3.1,88.0,89.0,0.006,0.06
2013-01-13 18:00:00,0.0,0.0,0.0,2.6,90.0,93.0,0.0,0.06
2013-01-13 19:00:00,0.0,0.0,0.0,2.3,93.0,94.0,0.0,0.05
